,Segm,Voltage,WT
0,6,0.48691800236701965,10.0
1,6,0.5284540057182312,10.0
2,5,0.4591580033302307,10.0
3,5,0.5922579765319824,10.0
4,1,0.7721459865570068,10.0
5,1,0.6454359889030457,10.0
6,1,0.6055150032043457,10.0
7,1,0.7764989733695984,10.0
8,17,2.3664700984954834,10.0
9,17,2.3042500019073486,10.0
10,17,2.1792399883270264,10.0
11,17,2.174609899520874,10.0
12,1,0.8353040218353271,10.0
13,1,0.6606299877166748,10.0
14,1,0.8657540082931519,10.0
15,1,0.6323879957199097,10.0
16,1,0.8210870027542114,10.0
17,1,0.6624680161476135,10.0
18,1,0.8612759709358215,10.0
19,1,0.804000973701477,10.0
20,1,0.6382099986076355,10.0
21,6,0.8296200037002563,10.0
22,6,0.6584429740905762,10.0
23,6,0.8494960069656372,10.0
24,6,0.6387270092964172,10.0
25,6,0.7560049891471863,10.0
26,6,0.6126570105552673,10.0
27,6,0.7455139756202698,10.0
28,6,0.5873939990997314,10.0
29,6,0.7026690244674683,10.0
30,6,0.5430899858474731,10.0
31,6,0.6953759789466858,10.0
32,6,0.5349040031433105,10.0
33,6,0.6150869727134705,10.0
34,6,0.5704569816589355,10.0
35,6,0.6055200099945068,10.0
36,6,0.5023260116577148,10.0
37,6,0.6308280229568481,10.0
38,6,0.49232199788093567,10.0
39,6,0.6250590085983276,10.0
40,6,0.629086971282959,10.0
41,6,0.6896589994430542,10.0
42,5,0.7720509767532349,10.0
43,6,0.9692019820213318,10.0
44,5,1.0962799787521362,10.0
45,6,0.8346199989318848,10.0
46,6,1.2275700569152832,10.0
47,5,1.4277000427246094,10.0
48,6,1.57437002658844,10.0
49,5,1.6085200309753418,10.0
50,6,1.7647199630737305,10.0
51,5,1.7924200296401978,10.0
52,6,1.9295099973678589,10.0
53,5,1.9033199548721313,10.0
54,6,2.1596999168395996,10.0
55,5,2.122469902038574,10.0
56,6,2.0940101146698,10.0
57,5,2.2428300380706787,10.0
58,6,2.3285000324249268,10.0
59,5,2.356559991836548,10.0
60,6,2.250570058822632,10.0
61,6,2.449320077896118,10.0
62,5,2.4863998889923096,10.0
63,6,2.520970106124878,10.0
64,5,2.5457100868225098,10.0
65,12,2.6840898990631104,10.0
66,11,2.6836600303649902,10.0
67,12,2.590440034866333,10.0
68,12,2.7373099327087402,10.0
69,11,2.757430076599121,10.0
70,12,2.83624005317688,10.0
71,11,2.8280699253082275,10.0
72,12,2.94608998298645,10.0
73,11,2.96232008934021,10.0
74,12,3.0724198818206787,10.0
75,11,3.1119699478149414,10.0
76,12,3.210779905319214,10.0
77,11,3.206779956817627,10.0
78,12,3.2589900493621826,10.0
79,11,3.284630060195923,10.0
80,12,3.3585500717163086,10.0
81,11,3.3791298866271973,10.0
82,12,3.29761004447937,10.0
83,12,3.4440701007843018,10.0
84,11,3.4527499675750732,10.0
85,12,3.4980900287628174,10.0
86,11,3.4639101028442383,10.0
87,12,3.4652199745178223,10.0
88,12,3.4631400108337402,10.0
89,11,3.4097800254821777,10.0
90,12,3.3742799758911133,10.0
91,11,3.350680112838745,10.0
92,16,3.3260200023651123,10.0
93,16,3.261039972305298,10.0
94,16,3.252810001373291,10.0
95,16,3.2021501064300537,10.0
96,16,3.151599884033203,10.0
97,16,3.098870038986206,10.0
98,16,3.097440004348755,10.0
99,16,3.0150198936462402,10.0
100,16,3.005199909210205,10.0
101,16,2.9916000366210938,10.0
102,16,2.936690092086792,10.0
103,16,2.9673399925231934,10.0
104,16,2.955080032348633,10.0
105,16,2.9166100025177,10.0
106,16,2.929640054702759,10.0
107,17,2.876149892807007,10.0
108,17,2.9046099185943604,10.0
109,17,2.8622100353240967,10.0
110,17,2.8488900661468506,10.0
