,Voltage,WT,Segm
0,14.324899673461914,31.0,6
1,15.121800422668457,31.0,6
2,13.972200393676758,31.0,5
3,14.769200325012207,31.0,5
4,13.876199722290039,31.0,1
5,13.110899925231934,31.0,1
6,13.997699737548828,31.0,1
7,14.495800018310547,31.0,1
8,2.6112101078033447,31.0,17
9,2.6742300987243652,31.0,17
10,2.645319938659668,31.0,17
11,3.08309006690979,31.0,17
12,14.677300453186035,31.0,1
13,13.951499938964844,31.0,1
14,13.566499710083008,31.0,1
15,13.97439956665039,31.0,1
16,13.830699920654297,31.0,1
17,14.050100326538086,31.0,1
18,13.830699920654297,31.0,1
19,14.536299705505371,31.0,1
20,12.117600440979004,31.0,1
21,14.320300102233887,31.0,6
22,13.294599533081055,31.0,6
23,15.962400436401367,31.0,6
24,14.561699867248535,31.0,6
25,14.046299934387207,31.0,6
26,14.345199584960938,31.0,6
27,13.78030014038086,31.0,6
28,14.080900192260742,31.0,6
29,14.104900360107422,31.0,6
30,14.207099914550781,31.0,6
31,14.621800422668457,31.0,6
32,14.873000144958496,31.0,6
33,14.667900085449219,31.0,6
34,15.291600227355957,31.0,6
35,16.11090087890625,31.0,6
36,14.776599884033203,31.0,6
37,15.679300308227539,31.0,6
38,14.411100387573242,31.0,6
39,14.950699806213379,31.0,6
40,15.375100135803223,31.0,6
41,15.11299991607666,31.0,6
42,15.598400115966797,31.0,5
43,13.68690013885498,31.0,6
44,14.065199851989746,31.0,5
45,15.283499717712402,31.0,6
46,14.840499877929688,31.0,6
47,13.785599708557129,31.0,5
48,13.073200225830078,31.0,6
49,13.609399795532227,31.0,5
50,13.264200210571289,31.0,6
51,13.297499656677246,31.0,5
52,14.3125,31.0,6
53,14.835000038146973,31.0,5
54,15.457200050354004,31.0,6
55,14.278300285339355,31.0,5
56,14.888299942016602,31.0,6
57,15.914899826049805,31.0,5
58,16.091999053955078,31.0,6
59,16.29010009765625,31.0,5
60,13.362299919128418,31.0,6
61,15.872099876403809,31.0,6
62,15.252699851989746,31.0,5
63,15.469400405883789,31.0,6
64,15.24020004272461,31.0,5
65,16.198299407958984,31.0,12
66,15.74269962310791,31.0,11
67,16.491500854492188,31.0,12
68,16.701000213623047,31.0,12
69,16.40019989013672,31.0,11
70,16.500600814819336,31.0,12
71,15.649700164794922,31.0,11
72,15.992199897766113,31.0,12
73,15.641900062561035,31.0,11
74,16.413799285888672,31.0,12
75,16.242000579833984,31.0,11
76,15.783499717712402,31.0,12
77,16.51420021057129,31.0,11
78,15.797300338745117,31.0,12
79,16.60219955444336,31.0,11
80,16.154399871826172,31.0,12
81,17.207599639892578,31.0,11
82,15.8927001953125,31.0,12
83,16.560400009155273,31.0,12
84,16.16860008239746,31.0,11
85,14.295100212097168,31.0,12
86,14.446900367736816,31.0,11
87,15.439599990844727,31.0,12
88,14.350700378417969,31.0,12
89,16.985700607299805,31.0,11
90,15.597100257873535,31.0,12
91,15.868900299072266,31.0,11
92,15.840700149536133,31.0,16
93,16.194700241088867,31.0,16
94,16.262399673461914,31.0,16
95,16.236799240112305,31.0,16
96,17.042400360107422,31.0,16
97,16.27869987487793,31.0,16
98,16.898500442504883,31.0,16
99,15.69849967956543,31.0,16
100,21.541400909423828,31.0,16
101,20.33679962158203,31.0,16
102,5.4834699630737305,31.0,16
103,13.44950008392334,31.0,16
104,18.5044002532959,31.0,16
105,4.761740207672119,31.0,16
106,2.5072999000549316,31.0,16
107,2.3520100116729736,31.0,17
108,1.2459700107574463,31.0,17
109,4.0381598472595215,31.0,17
110,2.4181599617004395,31.0,17
111,1.3003400564193726,31.0,17
112,2.679949998855591,31.0,17
113,1.225559949874878,31.0,17
114,1.7498799562454224,31.0,17
115,1.355720043182373,31.0,17
116,0.7927280068397522,31.0,17
117,1.8309299945831299,31.0,17
118,2.572230100631714,31.0,17
119,2.141429901123047,31.0,17
120,3.403409957885742,31.0,17
121,1.132040023803711,31.0,17
122,3.403409957885742,31.0,17
123,3.13169002532959,31.0,17
124,12.704899787902832,31.0,1
125,13.577300071716309,31.0,1
126,13.899499893188477,31.0,1
127,14.026100158691406,31.0,1
