,Voltage,WT,Segm
0,0.09229320287704468,31.0,6
1,0.08016890287399292,31.0,6
2,0.05903010070323944,31.0,5
3,0.21510200202465057,31.0,5
4,0.4161829948425293,31.0,1
5,0.4020180106163025,31.0,1
6,0.3898960053920746,31.0,1
7,0.5533959865570068,31.0,1
8,0.8818259835243225,31.0,17
9,0.1816979944705963,31.0,17
10,0.15461300313472748,31.0,17
11,0.17964999377727509,31.0,17
12,0.7342280149459839,31.0,1
13,0.3270629942417145,31.0,1
14,0.306782990694046,31.0,1
15,0.26644399762153625,31.0,1
16,0.30014100670814514,31.0,1
17,0.21416699886322021,31.0,1
18,0.2916409969329834,31.0,1
19,0.196601003408432,31.0,1
20,0.1669590026140213,31.0,1
21,0.3454799950122833,31.0,6
22,0.11204999685287476,31.0,6
23,0.13461899757385254,31.0,6
24,0.0687519982457161,31.0,6
25,0.12463100254535675,31.0,6
26,0.06604120135307312,31.0,6
27,0.12123999744653702,31.0,6
28,0.09871479868888855,31.0,6
29,0.1666869968175888,31.0,6
30,0.1406880021095276,31.0,6
31,0.177496999502182,31.0,6
32,0.15772299468517303,31.0,6
33,0.2996860146522522,31.0,6
34,0.1305990070104599,31.0,6
35,0.2709360122680664,31.0,6
36,0.13412900269031525,31.0,6
37,0.16514000296592712,31.0,6
38,0.10866100341081619,31.0,6
39,0.19235099852085114,31.0,6
40,0.3808639943599701,31.0,6
41,0.3660399913787842,31.0,6
42,0.3806630074977875,31.0,5
43,0.5081679821014404,31.0,6
44,0.430961012840271,31.0,5
45,0.3660399913787842,31.0,6
46,0.5552099943161011,31.0,6
47,0.20261700451374054,31.0,5
48,0.6604170203208923,31.0,6
49,0.20779700577259064,31.0,5
50,0.5856519937515259,31.0,6
51,0.600845992565155,31.0,5
52,0.3630490005016327,31.0,6
53,0.20414100587368011,31.0,5
54,0.2026980072259903,31.0,6
55,0.4339179992675781,31.0,5
56,0.3140130043029785,31.0,6
57,0.34566500782966614,31.0,5
