,Voltage,WT,Segm
0,0.8980349898338318,31.0,6
1,1.0288100242614746,31.0,6
2,0.8998720049858093,31.0,5
3,1.137779951095581,31.0,5
4,1.0269500017166138,31.0,1
5,0.8417350053787231,31.0,1
6,0.8021979928016663,31.0,1
7,1.103469967842102,31.0,1
8,7.078909873962402,31.0,17
9,7.0986199378967285,31.0,17
10,6.904419898986816,31.0,17
11,6.918590068817139,31.0,17
12,1.202970027923584,31.0,1
13,0.8778979778289795,31.0,1
14,1.101639986038208,31.0,1
15,0.9100930094718933,31.0,1
16,1.1553599834442139,31.0,1
17,0.9250149726867676,31.0,1
18,1.1553599834442139,31.0,1
19,1.2433600425720215,31.0,1
20,0.9413729906082153,31.0,1
21,1.2466299533843994,31.0,6
22,0.9512919783592224,31.0,6
23,1.1598000526428223,31.0,6
24,0.9554539918899536,31.0,6
25,1.2175699472427368,31.0,6
26,0.9612100124359131,31.0,6
27,1.2145500183105469,31.0,6
28,0.9349200129508972,31.0,6
29,1.0902700424194336,31.0,6
30,0.9038839936256409,31.0,6
31,1.1562399864196777,31.0,6
32,0.90174800157547,31.0,6
33,1.0333000421524048,31.0,6
34,0.9004899859428406,31.0,6
35,1.0902700424194336,31.0,6
36,0.9035570025444031,31.0,6
37,1.0629099607467651,31.0,6
38,0.9014419913291931,31.0,6
39,1.0902700424194336,31.0,6
40,1.1611000299453735,31.0,6
41,1.2960699796676636,31.0,6
42,1.4718199968338013,31.0,5
43,1.7082600593566895,31.0,6
44,1.914080023765564,31.0,5
45,1.2960699796676636,31.0,6
46,2.116529941558838,31.0,6
47,2.383769989013672,31.0,5
48,2.6557600498199463,31.0,6
49,2.8663198947906494,31.0,5
50,3.0021800994873047,31.0,6
51,3.267080068588257,31.0,5
52,3.4305500984191895,31.0,6
53,3.6778299808502197,31.0,5
54,4.060420036315918,31.0,6
55,4.064129829406738,31.0,5
56,3.8078699111938477,31.0,6
57,4.399869918823242,31.0,5
58,4.575160026550293,31.0,6
59,4.715849876403809,31.0,5
60,4.549799919128418,31.0,6
61,4.826900005340576,31.0,6
62,4.996089935302734,31.0,5
63,5.118299961090088,31.0,6
64,5.2455902099609375,31.0,5
65,5.595180034637451,31.0,12
66,5.486989974975586,31.0,11
67,5.351459980010986,31.0,12
68,5.707099914550781,31.0,12
69,5.7051801681518555,31.0,11
70,5.808129787445068,31.0,12
71,5.90841007232666,31.0,11
72,6.041959762573242,31.0,12
73,6.100090026855469,31.0,11
74,6.265729904174805,31.0,12
75,6.275410175323486,31.0,11
76,6.514959812164307,31.0,12
77,6.443620204925537,31.0,11
78,6.514959812164307,31.0,12
79,6.603670120239258,31.0,11
80,6.8350300788879395,31.0,12
81,6.750659942626953,31.0,11
82,6.689260005950928,31.0,12
83,6.8350300788879395,31.0,12
84,6.888150215148926,31.0,11
85,7.0810699462890625,31.0,12
86,7.008769989013672,31.0,11
87,6.968530178070068,31.0,12
88,7.145120143890381,31.0,12
89,7.120669841766357,31.0,11
90,7.145120143890381,31.0,12
91,7.222869873046875,31.0,11
92,7.2731499671936035,31.0,16
93,7.310719966888428,31.0,16
94,7.355669975280762,31.0,16
95,7.385280132293701,31.0,16
96,7.426449775695801,31.0,16
97,7.461100101470947,31.0,16
98,7.480030059814453,31.0,16
99,7.5099101066589355,31.0,16
100,7.556069850921631,31.0,16
101,7.527979850769043,31.0,16
102,7.611149787902832,31.0,16
103,7.6039299964904785,31.0,16
104,7.58499002456665,31.0,16
105,7.611149787902832,31.0,16
106,7.627399921417236,31.0,16
107,7.63661003112793,31.0,17
108,7.637479782104492,31.0,17
109,7.629950046539307,31.0,17
110,7.63661003112793,31.0,17
111,7.646249771118164,31.0,17
112,7.631720066070557,31.0,17
113,7.627190113067627,31.0,17
114,7.610000133514404,31.0,17
115,7.597970008850098,31.0,17
116,7.5004401206970215,31.0,17
117,7.5201897621154785,31.0,17
118,7.413869857788086,31.0,17
119,7.4176201820373535,31.0,17
120,7.283299922943115,31.0,17
121,7.21550989151001,31.0,17
122,7.283299922943115,31.0,17
123,7.0986199378967285,31.0,17
124,1.4191299676895142,31.0,1
125,1.3055399656295776,31.0,1
126,1.727329969406128,31.0,1
127,1.6266000270843506,31.0,1
128,1.3055399656295776,31.0,1
129,2.0644800662994385,31.0,1
130,1.9189300537109375,31.0,1
131,2.392849922180176,31.0,1
132,2.3463399410247803,31.0,1
133,2.7519900798797607,31.0,1
134,2.5936501026153564,31.0,1
135,3.0525100231170654,31.0,1
136,2.940929889678955,31.0,1
137,3.3741300106048584,31.0,1
138,3.259700059890747,31.0,1
139,3.5855400562286377,31.0,1
140,3.6656999588012695,31.0,1
141,4.030889987945557,31.0,1
142,3.9459900856018066,31.0,1
143,4.305319786071777,31.0,1
144,4.220680236816406,31.0,1
145,4.55079984664917,31.0,1
146,4.445899963378906,31.0,1
147,4.671259880065918,31.0,7
148,4.640170097351074,31.0,7
149,5.028940200805664,31.0,7
150,4.894370079040527,31.0,7
151,5.332459926605225,31.0,7
152,5.114150047302246,31.0,7
153,5.211810111999512,31.0,7
154,5.332459926605225,31.0,7
155,5.2980499267578125,31.0,7
156,5.674880027770996,31.0,7
157,5.469560146331787,31.0,7
158,5.537220001220703,31.0,7
159,5.674880027770996,31.0,7
160,5.620659828186035,31.0,7
161,5.9238600730896,31.0,7
162,5.764039993286133,31.0,7
163,5.775869846343994,31.0,7
164,6.042699813842773,31.0,7
165,5.899320125579834,31.0,7
166,6.1307501792907715,31.0,7
167,6.021790027618408,31.0,7
168,6.255660057067871,31.0,7
