,Voltage,WT,Segm
0,4.315899848937988,31.0,6
1,4.587430000305176,31.0,6
2,4.306600093841553,31.0,5
3,4.740049839019775,31.0,5
4,5.002240180969238,31.0,1
5,4.633609771728516,31.0,1
6,4.6249799728393555,31.0,1
7,5.190619945526123,31.0,1
8,8.333769798278809,31.0,17
9,8.3333101272583,31.0,17
10,8.369210243225098,31.0,17
11,8.370429992675781,31.0,17
12,5.261960029602051,31.0,1
13,4.641520023345947,31.0,1
14,5.045259952545166,31.0,1
15,4.641660213470459,31.0,1
16,5.103129863739014,31.0,1
17,4.622340202331543,31.0,1
18,5.103129863739014,31.0,1
19,5.190959930419922,31.0,1
20,4.60122013092041,31.0,1
21,5.163640022277832,31.0,6
22,4.574460029602051,31.0,6
23,4.966639995574951,31.0,6
24,4.536620140075684,31.0,6
25,5.0287699699401855,31.0,6
26,4.4934401512146,31.0,6
27,4.9923601150512695,31.0,6
28,4.451690196990967,31.0,6
29,4.7886199951171875,31.0,6
30,4.408989906311035,31.0,6
31,4.896490097045898,31.0,6
32,4.387660026550293,31.0,6
33,4.647039890289307,31.0,6
34,4.3684401512146,31.0,6
35,4.743340015411377,31.0,6
36,4.3572998046875,31.0,6
37,4.678150177001953,31.0,6
38,4.339069843292236,31.0,6
39,4.743340015411377,31.0,6
40,4.828219890594482,31.0,6
41,4.966440200805664,31.0,6
42,5.096680164337158,31.0,5
43,5.279109954833984,31.0,6
44,5.387479782104492,31.0,5
45,4.966440200805664,31.0,6
46,5.520699977874756,31.0,6
47,5.623760223388672,31.0,5
48,5.761970043182373,31.0,6
49,5.788599967956543,31.0,5
50,5.885570049285889,31.0,6
51,5.977280139923096,31.0,5
52,6.0478901863098145,31.0,6
53,6.101319789886475,31.0,5
54,6.2498297691345215,31.0,6
55,6.238269805908203,31.0,5
56,6.159170150756836,31.0,6
57,6.364739894866943,31.0,5
58,6.427700042724609,31.0,6
59,6.477409839630127,31.0,5
60,6.422989845275879,31.0,6
61,6.5313401222229,31.0,6
62,6.579899787902832,31.0,5
63,6.627560138702393,31.0,6
64,6.688089847564697,31.0,5
65,6.824979782104492,31.0,12
66,6.7632598876953125,31.0,11
67,6.720119953155518,31.0,12
68,6.848740100860596,31.0,12
69,6.839000225067139,31.0,11
70,6.882130146026611,31.0,12
71,6.906449794769287,31.0,11
72,6.959050178527832,31.0,12
73,6.986710071563721,31.0,11
74,7.056769847869873,31.0,12
75,7.061299800872803,31.0,11
76,7.156089782714844,31.0,12
77,7.121079921722412,31.0,11
78,7.156089782714844,31.0,12
79,7.191229820251465,31.0,11
80,7.295159816741943,31.0,12
81,7.246260166168213,31.0,11
82,7.2280402183532715,31.0,12
83,7.295159816741943,31.0,12
84,7.2953200340271,31.0,11
85,7.4137701988220215,31.0,12
86,7.3784098625183105,31.0,11
87,7.347710132598877,31.0,12
88,7.487559795379639,31.0,12
89,7.428840160369873,31.0,11
90,7.487559795379639,31.0,12
91,7.466179847717285,31.0,11
92,7.501870155334473,31.0,16
93,7.531789779663086,31.0,16
94,7.584280014038086,31.0,16
95,7.597300052642822,31.0,16
96,7.650300025939941,31.0,16
97,7.645110130310059,31.0,16
98,7.68874979019165,31.0,16
99,7.697929859161377,31.0,16
100,7.771279811859131,31.0,16
101,7.77593994140625,31.0,16
102,7.906469821929932,31.0,16
103,7.83390998840332,31.0,16
104,7.826539993286133,31.0,16
105,7.906469821929932,31.0,16
106,7.9217000007629395,31.0,16
107,8.045209884643555,31.0,17
108,8.005029678344727,31.0,17
109,7.971519947052002,31.0,17
110,8.045209884643555,31.0,17
111,8.062430381774902,31.0,17
112,8.128870010375977,31.0,17
113,8.13228988647461,31.0,17
114,8.196439743041992,31.0,17
115,8.208939552307129,31.0,17
116,8.25790023803711,31.0,17
117,8.229700088500977,31.0,17
118,8.32783031463623,31.0,17
119,8.27694034576416,31.0,17
120,8.303640365600586,31.0,17
121,8.329609870910645,31.0,17
122,8.303640365600586,31.0,17
123,8.3333101272583,31.0,17
124,5.620850086212158,31.0,1
125,5.4506001472473145,31.0,1
126,5.945300102233887,31.0,1
127,5.814169883728027,31.0,1
128,5.4506001472473145,31.0,1
129,6.214529991149902,31.0,1
130,6.07882022857666,31.0,1
131,6.440219879150391,31.0,1
132,6.354060173034668,31.0,1
133,6.651189804077148,31.0,1
134,6.523620128631592,31.0,1
135,6.811299800872803,31.0,1
136,6.721310138702393,31.0,1
137,6.957310199737549,31.0,1
138,6.866049766540527,31.0,1
139,6.985469818115234,31.0,1
140,7.0731201171875,31.0,1
141,7.14369010925293,31.0,1
142,7.147850036621094,31.0,1
143,7.242980003356934,31.0,1
144,7.249690055847168,31.0,1
145,7.287759780883789,31.0,1
146,7.298649787902832,31.0,1
147,7.349009990692139,31.0,7
148,7.329360008239746,31.0,7
149,7.428070068359375,31.0,7
150,7.403379917144775,31.0,7
151,7.50885009765625,31.0,7
152,7.476459980010986,31.0,7
153,7.460219860076904,31.0,7
154,7.50885009765625,31.0,7
155,7.518529891967773,31.0,7
156,7.593100070953369,31.0,7
157,7.562099933624268,31.0,7
158,7.559289932250977,31.0,7
159,7.593100070953369,31.0,7
160,7.615419864654541,31.0,7
161,7.685510158538818,31.0,7
162,7.673530101776123,31.0,7
163,7.63932991027832,31.0,7
164,7.725430011749268,31.0,7
165,7.733850002288818,31.0,7
166,7.766190052032471,31.0,7
167,7.767370223999023,31.0,7
168,7.819940090179443,31.0,7
169,7.829539775848389,31.0,7
170,7.878819942474365,31.0,7
171,7.873219966888428,31.0,7
172,7.878819942474365,31.0,7
173,7.937029838562012,31.0,7
174,7.913320064544678,31.0,7
175,7.961919784545898,31.0,13
176,7.948890209197998,31.0,13
177,8.003649711608887,31.0,13
178,7.981989860534668,31.0,13
179,8.036499977111816,31.0,13
180,8.022100448608398,31.0,13
181,8.036499977111816,31.0,13
182,8.058509826660156,31.0,13
183,8.07688045501709,31.0,13
184,8.117019653320312,31.0,13
185,8.100959777832031,31.0,13
186,8.162599563598633,31.0,13
187,8.1558198928833,31.0,13
188,8.17199993133545,31.0,13
189,8.160630226135254,31.0,13
190,8.20654010772705,31.0,17
191,8.201820373535156,31.0,17
192,8.20654010772705,31.0,17
193,8.25193977355957,31.0,17
194,8.262840270996094,31.0,17
195,8.262840270996094,31.0,17
196,8.297320365905762,31.0,17
197,8.342780113220215,31.0,17
198,8.32172966003418,31.0,17
199,8.378620147705078,31.0,17
200,8.361550331115723,31.0,17
201,8.385129928588867,31.0,17
202,8.38051986694336,31.0,17
203,8.38051986694336,31.0,17
204,8.36106014251709,31.0,17
205,8.388139724731445,31.0,17
206,8.335229873657227,31.0,17
207,6.924540042877197,31.0,6
208,7.009679794311523,31.0,12
209,6.808949947357178,31.0,6
210,6.851679801940918,31.0,12
211,6.667669773101807,31.0,6
212,6.726200103759766,31.0,6
213,6.827340126037598,31.0,6
214,6.8001298904418945,31.0,6
215,6.827630043029785,31.0,6
216,6.876130104064941,31.0,6
217,6.7170000076293945,31.0,6
218,6.748680114746094,31.0,6
219,6.876130104064941,31.0,6
220,6.856760025024414,31.0,6
221,7.113460063934326,31.0,12
222,7.262239933013916,31.0,12
223,7.165090084075928,31.0,12
224,7.165090084075928,31.0,12
225,7.092410087585449,31.0,6
226,6.99931001663208,31.0,6
227,7.095449924468994,31.0,12
228,6.9563798904418945,31.0,12
229,7.095449924468994,31.0,12
230,7.285299777984619,31.0,12
231,7.327760219573975,31.0,12
232,7.221459865570068,31.0,12
233,7.094120025634766,31.0,12
234,7.150290012359619,31.0,12
235,7.236169815063477,31.0,12
236,7.321310043334961,31.0,12
237,7.242259979248047,31.0,12
238,7.1671600341796875,31.0,12
239,7.419370174407959,31.0,12
240,7.329619884490967,31.0,12
241,7.329619884490967,31.0,12
242,7.252449989318848,31.0,12
243,7.18710994720459,31.0,12
244,7.189499855041504,31.0,12
245,7.323840141296387,31.0,12
246,7.414259910583496,31.0,12
247,7.386189937591553,31.0,12
248,7.520380020141602,31.0,12
249,7.3988800048828125,31.0,12
250,7.462910175323486,31.0,12
251,7.458069801330566,31.0,12
252,7.38316011428833,31.0,12
253,7.524419784545898,31.0,12
254,7.520380020141602,31.0,12
255,7.590980052947998,31.0,12
256,7.475830078125,31.0,12
257,7.620269775390625,31.0,12
258,7.620269775390625,31.0,12
259,7.624539852142334,31.0,12
260,7.553689956665039,31.0,12
261,7.544290065765381,31.0,12
262,7.486690044403076,31.0,12
263,7.45173978805542,31.0,12
264,7.674270153045654,31.0,12
265,7.710480213165283,31.0,12
266,7.683549880981445,31.0,12
267,7.593860149383545,31.0,12
268,7.722509860992432,31.0,12
269,7.747620105743408,31.0,12
270,7.733530044555664,31.0,12
271,7.6593098640441895,31.0,12
272,7.772079944610596,31.0,12
273,7.784140110015869,31.0,12
274,7.765500068664551,31.0,12
275,7.863959789276123,31.0,13
276,7.839409828186035,31.0,13
277,7.863810062408447,31.0,16
278,7.839409828186035,31.0,16
279,7.883570194244385,31.0,13
280,7.803579807281494,31.0,16
281,7.803579807281494,31.0,16
282,7.750410079956055,31.0,16
283,7.874879837036133,31.0,16
284,7.91825008392334,31.0,13
285,7.892519950866699,31.0,16
286,7.892519950866699,31.0,16
287,7.840310096740723,31.0,16
288,7.892519950866699,31.0,16
289,7.997809886932373,31.0,16
290,7.9517598152160645,31.0,13
291,7.955999851226807,31.0,16
292,8.064680099487305,31.0,13
293,7.989180088043213,31.0,13
294,7.993269920349121,31.0,16
295,8.055720329284668,31.0,16
296,8.095319747924805,31.0,13
297,8.066129684448242,31.0,13
298,7.993269920349121,31.0,16
299,8.080430030822754,31.0,17
300,8.080430030822754,31.0,17
301,6.876399993896484,31.0,1
302,6.8402099609375,31.0,1
303,6.7399001121521,31.0,1
304,6.709589958190918,31.0,1
305,6.606450080871582,31.0,1
306,6.641819953918457,31.0,1
307,6.874539852142334,31.0,1
308,6.641819953918457,31.0,1
309,6.776150226593018,31.0,1
310,6.128699779510498,31.0,6
311,6.222559928894043,31.0,6
312,6.240829944610596,31.0,6
